F#,Feature Name,F#,Feature Name,F#,Feature Name
F1,duration,F15,su_attempted,F29,same_srv_rate
F2,protocol_type,F16,num_root,F30,diff_srv_rate
F3,service,F17,num_file_creations,F31,srv_diff_host_rate
F4,flag,F18,num_shells,F32,dst_host_count
F5,src_bytes,F19,num_access_files,F33,dst_host_srv_count
F6,dst_bytes,F20,num_outbound_cmds,F34,dst_host_same_srv_rate
F7,land,F21,is_host_login,F35,dst_host_diff_srv_rate
F8,wrong_fragment,F22,is_guest_login,F36,dst_host_same_src_port_rate
F9,urgent,F23,count,F37,dst_host_srv_diff_host_rate
F10,hot,F24,srv_count,F38,dst_host_serror_rate
F11,num_failed_logins,F25,serror_rate,F39,dst_host_srv_serror_rate
F12,logged_in,F26,srv_serror_rate,F40,dst_host_rerror_rate
F13,num_compromised,F27,rerror_rate,F41,dst_host_srv_rerror_rate
F14,root_shell,F28,srv_rerror_rate,F42,Class Label
